participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,cursor_x,cursor_y,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,saccade_followed,n_merged,merged_into,drift_corrected,drift_x,drift_y,keep
p02,63,0,1.0,constrained_to_unconstrained,0.01,1787852075.4925332,2.387138843536377,0.0,0.0,0.13,0.022671733275942,0.03568965517241382,0.0336320521126379,0.13570172794621294,0.03544692211322751,0.12955092951226893,0.0005104739376040361,False,False,False,True,1,,False,-0.001814870000589608,0.006150798433944005,True
p02,63,0,2.0,constrained_to_unconstrained,0.01,1787852077.9297972,0.09999990463256836,0.1578655608396302,0.1578655608396302,0.1288431291390728,0.0462412597045958,0.04834133571209412,0.20475742421902024,0.14005154615661383,0.20657229421960985,0.13390074772266983,0.003917824428379863,False,False,False,True,1,,False,-0.001814870000589608,0.006150798433944005,True
p02,63,0,3.0,constrained_to_unconstrained,0.01,1787852078.074923,1.611508846282959,0.1644052919501442,0.1644052919501442,0.1288431291390728,-0.0165343735504448,0.03387057011882147,0.1963846923936557,0.14750251150135107,0.1981995623942453,0.14135171306740707,0.011351969485736947,False,False,False,True,1,,False,-0.001814870000589608,0.006150798433944005,True
p02,63,0,4.0,constrained_to_unconstrained,,1787852079.7514322,0.175126314163208,0.3716514971990527,0.3716514971990527,0.1288431291390728,0.0879096473534019,0.0843485028009473,0.4534468670296741,0.13408359522580762,0.45526173703026374,0.12793279679186362,0.0021950766082789006,False,False,False,True,1,,False,-0.001814870000589608,0.006150798433944005,True
p02,63,0,5.0,constrained_to_unconstrained,,1787852079.971683,0.15512609481811523,0.4053412268141488,0.4053412268141488,0.1288431291390728,-0.0505000016204556,-0.02934122681414869,0.3582925324457377,0.12435411370507803,0.36010740244632733,0.11820331527113402,0.019792332545591134,False,False,True,True,1,,False,-0.001814870000589608,0.006150798433944005,False
p02,63,0,6.0,constrained_to_unconstrained,,1787852080.171821,0.6656239032745361,0.4363523146610213,0.4363523146610213,0.1288431291390728,0.0202916186143822,0.023647685338978708,0.46048297555290146,0.1292612147880749,0.46229784555349107,0.12311041635413089,0.00726267560896986,False,False,False,False,1,,False,-0.001814870000589608,0.006150798433944005,True
p02,63,1,15.0,constrained_to_unconstrained,0.01,1787852085.366712,1.7265090942382812,0.0,0.0,0.13,0.0172359022380414,0.11301724137931042,0.028543518085215457,0.1345890739761822,0.11370185952940948,0.1284161178443591,0.0017255099809629357,False,False,False,False,1,,True,-0.08515834144419401,0.0061729561318230874,True
p02,63,1,16.0,constrained_to_unconstrained,0.01,1787852087.2083502,2.262140989303589,0.0809484562399059,0.0809484562399059,0.1291875,-0.0122544718897378,0.16305154376009426,0.1592694397292773,0.13626578784227505,0.2444277811734713,0.13009283171045197,0.00043773788828679725,True,False,False,True,1,,True,-0.08515834144419401,0.0061729561318230874,False
p02,63,1,17.0,constrained_to_unconstrained,,1787852089.5304842,0.4805028438568115,0.4439289743743993,0.4439289743743993,0.1291875,-0.0133224271404855,0.0160710256256007,0.43816209040633275,0.13193711144069986,0.5233204318505268,0.12576415530887677,0.06346195293232412,False,True,False,False,1,,True,-0.08515834144419401,0.0061729561318230874,False
p02,63,2,18.0,constrained_to_unconstrained,0.01,1787852091.8376212,3.3481428623199463,0.0,0.0,0.13,0.0253879458474247,0.21215517241379328,0.08754788234941119,0.1358810706733058,0.21311874693280874,0.12914429125920776,0.0012886866580996835,False,False,False,True,1,,True,-0.12557086458339756,0.006736779414098032,True
p02,63,2,19.0,constrained_to_unconstrained,,1787852095.230889,0.3052520751953125,0.3935743911609791,0.3935743911609791,0.1281543874172185,-0.0623364930143758,0.06642560883902093,0.34268209405122363,0.12957425355053048,0.4682529586346212,0.12283747413643245,0.01092763025413297,False,False,False,True,1,,True,-0.12557086458339756,0.006736779414098032,True
p02,63,2,20.0,constrained_to_unconstrained,,1787852095.5811412,0.3052518367767334,0.46,0.4616409961951319,0.1284987582781457,-0.005257963357317,0.0,0.4554797258347919,0.12642383773207921,0.5810505904181895,0.11968705831798118,0.12148910324275586,False,True,False,False,1,,True,-0.12557086458339756,0.006736779414098032,False
p02,78,3,21.0,constrained_to_unconstrained,0.05,1787852097.3627832,0.9158728122711182,0.0,0.0,0.13,0.0008419198591473,0.007931034482758626,0.006580006125198215,0.13635659406450854,0.008394876125787824,0.13020579563056453,0.0005074454762508736,False,False,False,True,1,,False,-0.001814870000589608,0.006150798433944005,True
